satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,promotion_last_3_years,department,salary,sex,marital_status,distance_from_home,age,absent_per_month,work_mode,job_position,contract_type,expected_promotion,salary_increase_last_year,leave_days_taken,left
,0.38809637289877086,4,158.5,7,0,0,accounting,,Male,single,37,51,0,hybride,Senior,CDI,0,,17,0
,0.1362817850851386,4,155.00125392253784,5,0,0,support,,Female,single,29,42,0,hybride,Junior,CDI,0,,16,0
0.4861445545416504,0.6890255115006543,5,,12,0,0,accounting,medium,Male,single,31,55,9,hybride,Senior,CDD,0,0.2906286626577418,20,0
0.6508361979514166,0.5006194476156357,4,210.06580206705496,12,0,0,accounting,medium,Male,divorced,5,48,6,office,Senior,CDI,1,0.26685461072997235,4,0
0.35917988227925934,0.7967942095500121,5,163.5,11,0,0,accounting,high,Female,single,27,40,9,hybride,Director,CDD,0,0.31942940445334694,11,0
0.5734629529245637,0.4174512323705307,2,196.43809261815764,10,0,0,DSI,low,Male,single,36,49,4,office,Junior,CDD,0,0.2474129353228236,26,0
,0.4937577402637327,5,153.5,1,0,0,marketing,,Male,divorced,17,61,7,office,Senior,CDI,1,,10,0
,0.8238915509430509,3,139.5,13,0,0,support,,Male,married,9,57,1,office,Junior,CDI,0,,25,0
1.0,0.6873586632155277,4,296.3240024755139,5,0,0,accounting,medium,Male,divorced,12,29,5,office,Senior,CDI,1,0.28971528883380937,18,0
,0.3997356299195862,2,231.19548338378945,13,0,0,sales,medium,Female,married,48,56,8,home,Junior,CDD,0,,2,0
0.8981091496817241,0.606801433892789,4,261.39984106517915,13,0,0,sales,medium,Male,married,15,24,2,hybride,Junior,CDI,1,0.32396678258759615,7,0
0.9888611969015301,0.9807460455293189,4,281.2455264413853,14,0,0,DSI,medium,Female,married,23,38,5,office,Junior,CDD,0,0.4394285997039087,25,0
,0.628726279248255,5,285.2067747858596,8,0,0,hr,medium,Male,single,34,43,8,home,Junior,CDI,1,,10,0
0.26355993097097397,0.5703921204265313,4,155.5,10,0,0,support,medium,Male,married,21,48,2,office,Senior,CDI,0,0.29063617509079476,9,0
0.4758947517399543,0.7790465938907337,2,149.44922103500593,12,0,0,accounting,medium,Male,married,9,35,4,office,Junior,CDD,0,0.30968585420410816,19,0
0.8532761701003126,0.6704547508636163,6,260.4110880644793,2,0,0,hr,medium,Female,single,2,55,5,hybride,Junior,CDD,1,0.21541820260505856,19,0
1.0,0.8887332551268261,4,300.0,8,0,0,accounting,high,Female,single,42,59,0,office,Senior,CDD,0,0.3447532433653197,11,0
0.662501684533527,0.7510195139293075,5,220.92790103943202,6,0,0,marketing,medium,Male,divorced,10,29,7,home,Junior,CDI,1,0.2606259588506095,22,0
0.3739901839288354,0.7813087653202043,3,147.80051584241082,1,1,0,sales,medium,Male,married,8,56,9,home,Junior,CDD,1,0.18769228680724737,27,1
0.5583256457113075,0.8984617052251459,4,,13,0,0,technical,low,Female,single,12,60,2,hybride,Senior,CDI,0,0.35422198615535616,22,0
,0.5401895180237768,5,166.5,14,0,0,support,,Male,divorced,43,25,9,home,Junior,CDI,0,,25,0
0.899322155999278,0.4802473102753826,4,268.14057550971097,10,0,0,support,low,Male,divorced,38,55,7,home,Junior,CDI,0,0.29727030019747597,2,0
,0.3308539114149816,6,164.5,9,0,0,sales,,Male,single,9,30,0,hybride,Senior,CDD,0,,16,0
,0.5578304455678839,6,190.79133423330805,11,0,0,hr,high,Male,married,35,23,3,office,Junior,CDI,1,,4,0
,0.3382783294353924,2,220.79987553479884,8,0,0,technical,medium,Male,divorced,39,51,3,hybride,Senior,CDI,0,,26,0
0.4377753378769578,0.6730971181356911,6,174.2452160952456,5,0,0,marketing,high,Male,divorced,8,50,7,hybride,Manager,CDI,0,0.2557898097703849,7,0
0.8756874822027597,0.4773022647063718,5,272.4340035132062,14,0,0,DSI,high,Female,divorced,23,24,3,office,Senior,CDD,0,0.34049500163753843,0,0
0.5642766361829317,0.7924668521756862,6,223.27893462307537,4,0,0,technical,high,Male,divorced,44,25,3,office,Junior,CDI,0,0.22455286240134814,9,0
0.6724376786233917,0.7557356292421108,5,219.37364820636594,12,0,0,hr,medium,Female,married,5,33,6,home,Junior,CDD,0,0.2779126152398813,26,0
0.40018595868238804,0.5220800301036423,4,174.93108990869456,12,0,0,accounting,low,Female,married,14,62,9,office,Junior,CDI,1,0.2743365668852445,3,0
1.0,0.7952584373420785,2,274.3041843894614,1,0,0,marketing,medium,Male,divorced,49,44,7,home,Junior,CDI,1,0.25821411380366066,4,0
0.9129120589653936,0.6298471466360823,2,248.2218701860397,2,1,0,sales,medium,Female,divorced,17,46,5,home,Senior,CDD,0,0.26752633187798736,25,0
0.8616077749233537,0.24574765840113189,6,288.34499008761156,5,0,0,marketing,medium,Male,single,22,61,3,office,Senior,CDI,0,0.24504214567707755,11,0
0.9555795264751051,0.40227356987920193,3,266.9758906661558,5,0,0,technical,medium,Female,married,30,37,6,hybride,Junior,CDD,0,0.21866815357493852,25,0
0.8894785319238907,0.45516739641464016,6,275.01083639729114,8,0,0,DSI,low,Male,divorced,5,51,8,office,Junior,CDI,0,0.3042219084434002,26,0
,,3,160.12139547918028,14,0,0,marketing,high,Male,married,43,52,1,hybride,Senior,CDI,0,,4,0
0.8978160282832663,0.5141884071251016,6,,5,0,0,hr,medium,Male,single,24,40,2,office,Senior,CDI,0,0.2081075043729439,27,0
0.36521691030986614,0.4942036662461246,5,176.10116659322088,5,0,0,accounting,medium,Female,married,29,33,0,home,Senior,CDI,0,0.21035777867787783,19,0
1.0,0.7161940482161036,5,300.0,3,0,0,marketing,low,Female,married,33,61,6,home,Junior,CDI,0,0.26369612008587423,2,0
,0.757383280987504,3,144.5,7,0,0,technical,,Female,married,19,24,5,office,Senior,CDD,0,,24,0
0.5724916669103212,0.4762896161426812,2,202.55398161045042,6,1,0,marketing,medium,Male,single,41,47,9,hybride,Junior,CDI,0,0.2471872899902774,30,0
